/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_36_30.wav,осадить на шестнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa6773a-846e-11ee-a42e-c09bf4619c03.wav,протянуть на четыре вагона
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_11_04.wav,осадить на двадцать восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_08_41.wav,протянуть на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa7b8a7-846e-11ee-b32b-c09bf4619c03.wav,протянуть на восемнадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa602e7-846e-11ee-b44e-c09bf4619c03.wav,протянуть на восемь вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__09_41_44.wav,вышел из межвагонного пространства
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3f9ce515-846e-11ee-bb13-c09bf4619c03.wav,осадить на один вагон
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fc0e2ca-846e-11ee-b2b4-c09bf4619c03.wav,осадить на пять вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_27_36.wav,захожу в межвагонное пространство
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fa91a68-846e-11ee-bea6-c09bf4619c03.wav,протянуть на тринадцать вагонов
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_09_37.wav,назад на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__12_37_13.wav,отказ
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/03_07_2023/3fb9bdcf-846e-11ee-8d0a-c09bf4619c03.wav,вперед на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__11_35_32.wav,тише
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/21_11_2023/2023_11_21__10_26_40.wav,назад на башмак
/Users/daniil/Хакатоны/ЦП СВФО/Data-work/dataset_Coqui/dataset/luga_converted/15_11_2023/2023_11_15__10_55_13.wav,отказ
